city,population
Дубовка,14165.0
Большая Мурта,7888.0
Криводановка,10051.0
Ерзовка,6377.0
Красная Горбатка,8113.0
Балакирево,9631.0
Вавож,5721.0
Белореченский,52082.0
Кашары,6529.0
Мошково,9856.0
Хрящевка,3544.0
Новый Некоуз,14489.0
Волчанск,8885.0
Одесское,1010783.0
Ветлуга,8501.0
Осинки,78385.0
Усть-Чарышская Пристань,4809.0
Новоселицкое,8643.0
Авдон,5263.0
Мамоново,8056.0
Кандры,10885.0
Полетаево,6500.0
Салаир,7589.0
Межгорье,15861.0
Краснооктябрьский,147114.0
Арти,106692.0
Должанская,7019.0
Юргинское,81733.0
Домбаровский,14902.0
Кодинск,16312.0
Петров Вал,12177.0
Камское Устье,4427.0
Новогуровский,3447.0
Небуг,3972.0
Мирный,32175.0
Атиг,3184.0
Новолуговое,4104.0
Матвеев-Курган,15489.0
Покачи,17905.0
Новохоперск,6188.0
Бачатский,14028.0
Селты,5204.0
Красногорское,345.0
Сеченово,7200.0
Старобалтачево,5598.0
Саргатское,8028.0
Репьевка,171.0
Чесма,6334.0
Курчанская,6600.0
Новоджерелиевская,5020.0
Краснообск,23768.0
Юсьва,733.0
Тоцкое Второе,1445.0
Пшехская,5064.0
Одоев,5559.0
Нововаршавка,6093.0
Сосьва,19.0
Уинское,10647.0
Пятигорский,145885.0
Кильмезь,5636.0
Черноисточинск,3814.0
Адамовка,23787.0
Казьминское,5676.0
Киясово,243.0
Старонижестеблиевская,10260.0
Рамонь,8404.0
Мысхако,7954.0
Балезино,14772.0
Юганец,2735.0
Головчино,6404.0
Боковская,4832.0
Волово,3427.0
Шербакуль,6595.0
Боровиха,7507.0
Раздольная,3181.0
Ярково,419898.0
Тургояк,151856.0
Крапивинский,23229.0
Краснослободск,18786.0
Ольгинская,4934.0
Вознесенское,406933.0
Кармаскалы,8540.0
Спасское,1264075.0
Канашево,3246.0
Труновское,6121.0
Тельма,5072.0
Ильиногорск,4610.0
Ворсма,10589.0
Тимашево,5651.0
Бакалы,9568.0
Верх-Чебула,14460.0
Быково,78385.0
Чулым,11270.0
Смоленская,330025.0
Сим,13170.0
Бижбуляк,6446.0
Юца,9427.0
Никологоры,4977.0
Усть-Кинельский,11384.0
Сумкино,3531.0
Асекеево,5201.0
Здвинск,5402.0
Карагай,6682.0
Спокойная,5458.0
Смышляевка,9193.0
Целинное,1035537.0
Толбазы,10114.0
Еланский,30222.0
Кондратово,1169719.0
Архангельское,351488.0
Девица,1264075.0
Некрасовская,5897.0
Липки,8976.0
Борисоглебский,62669.0
Хохол,4512.0
Вышестеблиевская,3779.0
Темиргоевская,7462.0
Мраково,8690.0
Шигоны,1913.0
Солтон,2591.0
Благовещенка,11577.0
Каргат,9519.0
Бирюсинск,8477.0
Верхнеяркеево,9384.0
Кисляковская,5145.0
Кулунда,14498.0
Сергиевск,8661.0
Нязепетровск,11752.0
Октябрьская,113929.0
Новоорск,11295.0
Городищи,322042.0
Преображенская,1264075.0
Усть-Ишим,4802.0
Пелагиада,433577.0
Маньково-Калитвенское,33759.0
Попутная,5809.0
Бобровский,50518.0
Новолеушковская,6462.0
Юго-Камский,8019.0
Бессоновка,11408.0
Сладково,3303.0
Дубовское,1007.0
Верхнее Дуброво,5078.0
Сибирский,1602915.0
Гостагаевская,9772.0
Прибельский,1115560.0
Нижние Серги,1264075.0
Большегривское,22924.0
Купино,13781.0
Питерка,5439.0
Сокольники,60834.0
Арсеньево,341.0
Усть-Ордынский,14557.0
Новоплатнировская,3369.0
Новоблагодарное,3263.0
Новоомский,4946.0
Акъяр,6941.0
Княгинино,7062.0
Тевриз,6893.0
Ладовская Балка,4333.0
Алзамай,6040.0
Дуван,3669.0
Акбулак,1035537.0
Оверята,5109.0
Шолоховский,7588.0
Новобирюсинский,74188.0
Славск,4145.0
Аромашево,5373.0
Подбельск,3417.0
Калниболотская,5722.0
Пильна,6849.0
Каменка,36566.0
Кавказская,433577.0
Марьянская,11887.0
Елово,5334.0
Гривенская,104868.0
Дружинино,3639.0
Милютинская,2518.0
Зудилово,4025.0
Бохан,5132.0
Брейтово,3308.0
Новоуткинск,5360.0
Хреновое,999.0
Татарка,720.0
Нововеличковская,9169.0
Мундыбаш,4577.0
Шкуринская,4597.0
Петровское,13500.0
Краснотуранск,5478.0
Грицовский,5877.0
Краснокумское,17451.0
Чистоозерное,5628.0
Байкалово,5789.0
Краснобродский,11715.0
Усолье,77989.0
Благодатное,222.0
Стройкерамика,7682.0
Венцы,3891.0
Дубовый Умет,93388.0
Бердяуш,5018.0
Большая Орловка,4967401012015.0
Бродокалмак,3046.0
Грачёвка,270.0
Бесскорбная,5892.0
Комсомольский,248254.0
Соломенское,2415.0
Юмагузино,1115560.0
Алкино-2,5383.0
Саратовская,845300.0
Тюкалинск,10326.0
Покровское,1264075.0
Кытманово,3798.0
Семибратово,6770.0
Юкаменское,3940.0
Пышма,69117.0
Обь,29194.0
Баранчинский,9461.0
Балахта,6490.0
Латная,7379.0
Краснохолмский,10386.0
Сростки,2769.0
Антипино,1412.0
Советское,1264075.0
Обливская,9908.0
Абрау-Дюрсо,3519.0
Салым,6554.0
Московский,50167.0
Большое Село,3818.0
Большое Болдино,5074.0
Ачит,4937.0
Фершампенуаз,4368.0
Даниловка,4718.0
Зеленогорский,1877.0
Тасеево,8038.0
Петропавловская,180454.0
Кирпильская,5179.0
Большая Джалга,3038.0
Красногвардеец,1611.0
Новые Зори,3299.0
Викулово,6995.0
Субханкулово,68410.0
Мишкино,6021.0
Правокумское,1399.0
Большое Сорокино,1264075.0
Новониколаевская,1331.0
Новый Буян,3499.0
Атаманская,3952.0
Переясловская,8424.0
Тирлянский,4062.0
Старолеушковская,5251.0
Баево,4188.0
Малиновка,120.0
Старомарьевка,6044.0
Шарлык,7575.0
Буланаш,12504.0
Кагальник,8116.0
Дорогино,3834.0
Казанское,1243500.0
Отрадное,25344.0
Большая Соснова,78385.0
Клявлино,6967.0
Горьковское,231797.0
Нижнебаканская,8277.0
Роговатое,3001.0
Горноуральский,3503.0
Озинки,8717.0
Владимирская,356168.0
Венгерово,6928.0
Гофицкое,4926.0
Елховка,3268.0
Балаганск,3909.0
Родниковская,24662.0
Новая Ляля,11947.0
Карагайлинский,90980.0
Горный,63214.0
Бавлены,22258.0
Ивановское,1796.0
Брусянский,3513.0
Бурлацкое,68.0
Садовый,78385.0
Цибанобалка,5370.0
Верхняя Тишанка,3250.0
Верхняя Синячиха,9795.0
Лог,34018.0
Антиповка,2724.0
Верх-Ирмень,3123.0
Уват,5031.0
Ташла,815.0
Юрла,4874.0
Кукуштан,5305.0
Гамово,172.0
Аскино,6918.0
Новошешминск,13386.0
Чернуха,4002.0
Большая Ирба,37443.0
Свободный,53678.0
Новочернореченский,3823.0
Верхний Тагил,11171.0
Фоки,845300.0
Каз,1035537.0
Кушнаренково,9870.0
Красные Ткачи,4235.0
Арпачин,1527.0
Саваслейка,2686.0
Плешаново,19224.0
Зыково,78385.0
Привольное,23.0
Дядьковская,4377.0
Филимоново,2900.0
Козловка,9058.0
Галюгаевская,2679.0
Подстепки,9944.0
Шентала,6613.0
Большой Лог,4336.0
Аксаково,636.0
Ремонтное,6704.0
Темижбекская,5778.0
Верхние Серги,5771.0
Дивноморское,6358.0
Верх-Нейвинский,5105.0
Идринское,5135.0
Затеречный,72149.0
Великовечное,5812.0
Шалинское,3932.0
Русский Акташ,4249.0
Скородное,3622.0
Еланцы,9655.0
Ясногорский,29577.0
Ачикулак,64589.0
Крутиха,3684.0
Новогорный,6733.0
Оконешниково,4825.0
Обшаровка,5908.0
Шедок,2883.0
Новый Егорлык,3261.0
Зилаир,5585.0
Стерлибашево,18207.0
Дебёсы,5778.0
Большой Улуй,3340.0
Лысогорская,11198.0
Кудряшовский,10051.0
Ясенская,4751.0
Барсуковская,4712.0
Коржевский,4125.0
Красновишерск,15587.0
Абрамовка,472.0
Хохряки,5076.0
Нины,1264075.0
Березово,1264075.0
Ленина,1264075.0
Александров Гай,9728.0
Мулино,13008.0
Развильное,273278.0
Усть-Калманка,6200.0
Агой,2662.0
Пешково,3982.0
